index,mean,variance
431,3588452.6296296297,18989358286902.32
432,3580195.0577367204,18974926623730.293
433,3602402.3225806453,19145137195831.93
434,3594120.942528736,19130856822657.11
435,3614771.26146789,19272803794573.51
436,3610398.704805492,19236955229167.28
437,3602155.7899543378,19222694929268.625
438,3596264.77904328,19194042558117.56
439,3588091.4545454546,19179713788174.83
440,3603008.7346938774,19234257163504.043
441,3614033.6289592762,19244366413650.133
442,3608321.2595936796,19215282728671.18
443,3610360.581081081,19173753894089.785
444,3620595.806741573,19177187894420.62
445,3613272.6502242154,19158011455297.96
446,3605189.270693512,19144263710675.676
447,3597141.9866071427,19130447314189.434
448,3595887.6124721603,19088451903920.38
449,3591608.342222222,19054179117252.047
450,3583656.8248337028,19040351706571.234
451,3576308.424778761,19022541172315.92
452,3568413.7086092713,19008689828394.324
453,3593365.607929515,19249387205671.84
454,3624363.9340659343,19644195455965.01
455,3617512.293859649,19622428307941.31
456,3613074.1969365426,19588398060779.71
457,3606521.5065502184,19565200535424.383
458,3613894.222222222,19547431590761.273
459,3624811.7652173913,19559673256555.14
460,3620016.6203904557,19527752191549.645
461,3619512.649350649,19485509984232.938
462,3612166.099352052,19468322497651.953
463,3610556.2370689656,19427476813562.758
464,3614496.0989247314,19392825219285.332
465,3606739.6738197426,19379155771584.48
466,3603890.2740899357,19341361210209.867
467,3658698.247863248,20705776766097.258
468,3659188.84434968,20661646534573.15
469,3652471.54893617,20638799218236.57
470,3653540.687898089,20595425259848.836
471,3645800.1398305083,20579978634142.44
472,3641456.6553911204,20545300534890.406
473,3665322.789029536,20771851148257.023
474,3657606.3242105264,20756311996399.043
475,3689955.6050420166,21210737059329.023
476,3685208.4234800837,21176926231892.633
477,3677498.7866108785,21160941763440.754
478,3705317.2526096036,21487354327997.707
479,3697597.845833333,21471098386364.207
480,3701729.6133056134,21434578324068.66
481,3695470.692946058,21408897699690.8
482,3688094.202898551,21390762187902.31
483,3680474.1776859504,21374578251160.29
484,3673962.705154639,21350979547546.812
485,3675186.8724279837,21307685221863.832
486,3677158.5297741275,21265735427876.617
487,3669861.3401639345,21248054120405.57
488,3662356.5153374234,21232054677382.406
489,3654882.3224489796,21216008486737.324
490,3683749.5112016294,21581867972196.004
491,3678521.7601626017,21551359103024.668
492,3678239.7971602436,21507594722657.42
493,3677070.137651822,21464644612935.754
494,3669943.903030303,21446331609179.777
495,3662544.8266129033,21430159867324.93
496,3659106.1086519114,21392830816114.465
497,3659122.044176707,21349787017393.727
498,3662689.470941884,21313266499454.594
499,3665610.276,21274820093635.62
500,3658955.748502994,21254456104288.76
501,3657653.035856574,21212883964448.395
502,3650381.3638170976,21197224462250.96
503,3645966.992063492,21164904148623.86
504,3657897.988118812,21194796367956.504
505,3659792.596837945,21154642782511.07
506,3657213.7593688364,21116206942244.11
507,3669619.0393700786,21152734232616.51
508,3669039.815324165,21111265761753.27
509,3667392.0588235296,21071174499342.344
510,3660215.1702544033,21056178920703.957
511,3669847.83203125,21062480635641.99
512,3662694.136452242,21047595938054.742
513,3658078.2762645916,21017518854883.55
514,3650975.2155339806,21002612278327.402
515,3645432.379844961,20977683589090.51
516,3643166.928433269,20939682547171.305
517,3662564.034749035,21094076585760.24
518,3655507.075144509,21079200982517.566
519,3654589.065384615,21039024177520.75
520,3650680.0998080615,21006525401829.7
521,3644184.16091954,20988232725245.32
522,3651630.9292543023,20977028012424.125
523,3648341.618320611,20942588425050.703
524,3641867.180952381,20924628781345.613
525,3645662.9125475287,20892350731779.727
526,3647999.7874762807,20855509372606.56
527,3643126.0757575757,20828476969830.86
528,3636239.2703213613,20814118555924.445
529,3629378.445283019,20799719983792.953
530,3622543.4689265536,20785281903958.867
531,3618859.8759398498,20753356878968.45
532,3639581.1557223266,20943201784941.1
533,3652775.5655430714,20996874092007.383
534,3646045.540186916,20981785987163.59
535,3641183.4029850746,20955238938297.668
536,3653218.811918063,20993928366878.48
537,3657052.4646840147,20962740456925.535
538,3650267.5844155843,20948588904871.227
539,3643507.8407407408,20934398080932.7
540,3637124.2513863216,20917676542336.926
541,3630884.918819188,20900111370663.363
542,3631704.9392265193,20861915410946.94
543,3629971.8088235296,20825129712325.734
544,3625266.9174311925,20798912345526.418
545,3626398.816849817,20761448736784.48
546,3621289.8976234,20737701382845.566
547,3635705.3722627736,20813667318309.67
548,3629082.961748634,20799763293806.996
549,3622484.6363636362,20785822501408.023
550,3635285.1252268604,20838312832700.78
551,3637214.797101449,20802549198865.656
552,3634150.300180832,20770056722512.668
553,3640495.714801444,20754804264432.67
554,3646356.565765766,20736404732413.43
555,3639798.3741007196,20722955333124.684
556,3633263.7307001795,20709468602082.305
557,3631993.6272401433,20673188372414.234
558,3625496.3255813955,20659737792956.715
559,3627312.939285714,20624627454719.207
560,3635236.484848485,20623018787009.832
561,3633798.3416370107,20587419972515.387
562,3629913.111900533,20559286043324.7
563,3640632.794326241,20587578798862.71
564,3643537.96460177,20555844607670.293
565,3643082.7985865725,20519579843489.4
566,3644266.680776014,20484120863035.074
567,3649250.3204225353,20462100890969.55
568,3643834.4499121266,20442765776233.64
569,3647090.8807017542,20412882718761.676
570,3664297.1418563924,20546118290304.715
571,3669512.909090909,20525696414603.305
572,3667651.808027923,20491797028438.883
573,3665810.094076655,20457981686459.67
574,3668058.671304348,20425247860622.832
575,3661690.517361111,20413084439985.824
576,3667279.216637782,20395666821169.637
577,3662115.9446366783,20375728165393.523
578,3660502.8877374786,20341982571072.17
579,3678266.379310345,20489863760322.15
580,3676791.0223752153,20455801058979.234
581,3690802.501718213,20534852283839.457
582,3699695.2006861065,20545672727838.926
583,3702484.0308219176,20514973539649.98
584,3703544.4102564105,20480502936960.145
585,3706935.2013651878,20452231044335.508
586,3700853.206132879,20439043147116.53
587,3708242.5102040814,20436329519846.562
588,3701946.685908319,20424920288096.516
589,3696418.952542373,20408270947413.33
590,3702518.192893401,20395666290791.98
591,3696263.9425675673,20384312320241.625
592,3721024.8397976393,20713448865002.65
593,3721127.8316498315,20678525235119.31
594,3716298.72605042,20657588458303.363
595,3715598.7416107384,20623161849255.6
596,3714799.5108877723,20588940574243.035
597,3714858.983277592,20554455351702.895
598,3718954.3138564276,20530129620584.42
599,3712756.06,20518906625061.27
600,3716298.459234609,20492250151347.586
601,3718874.8338870434,20462149128521.277
602,3720557.9436152573,20429867061166.285
603,3714398.082781457,20418904791450.81
604,3712885.4049586775,20386483015178.426
605,3710188.597359736,20357193648400.414
606,3717994.3789126854,20360585566578.66
607,3739827.7565789474,20616873991237.516
608,3745155.536945813,20600251272390.36
609,3739015.9409836065,20589418645154.52
610,3735369.0180032733,20563791828688.75
611,3731363.9673202615,20539952612004.777
612,3730925.8564437195,20506508257851.78
613,3734825.4006514656,20482392309947.605
614,3728752.5170731707,20471714512515.047
615,3724709.977272727,20448493922715.8
616,3720318.2820097245,20427198386852.066
617,3718285.4595469255,20396644899019.758
618,3712278.5395799675,20385976050403.84
619,3716213.187096774,20362640824629.46
620,3715945.8711755234,20329842230852.367
621,3716970.5594855305,20297758056154.66
622,3723430.9791332264,20291127169338.594
623,3730253.875,20287605532376.98
624,3724285.4784,20277356942758.117
625,3720917.6293929713,20252013518390.48
626,3725967.639553429,20235652190939.12
627,3722565.525477707,20210647134245.152
628,3720093.1637519873,20182309383218.453
629,3719181.1714285715,20150747030695.523
630,3714054.5419968306,20135345867755.867
631,3708177.8765822784,20125261896555.926
632,3712089.51342812,20103103599213.36
633,3708204.665615142,20080913496674.67
634,3702364.979527559,20070894859374.92
635,3697988.5880503147,20051468333237.258
636,3698947.824175824,20020526992627.13
637,3693150.103448276,20010543048769.492
638,3690682.0782472612,19983070805055.26
639,3686882.184375,19961039477581.63
640,3681130.4243369736,19951056392003.867
641,3676536.6137071652,19933479686734.457
642,3675666.66251944,19902917285043.88
643,3673128.1086956523,19876114170534.08
644,3667433.339534884,19866168244500.785
645,3665192.8328173375,19838610819903.586
646,3669089.7465224112,19817726196900.605
647,3690447.015432099,20082670159369.15
648,3691802.9029275808,20052871526086.215
649,3686457.0861538462,20040548960994.117
650,3681265.425499232,20027263971777.56
651,3677322.607361963,20006635996721.793
652,3680140.584992343,19981136443832.18
653,3675571.9388379203,19964188093103.375
654,3676235.5175572517,19933950232164.92
655,3680615.963414634,19916104249036.69
656,3676898.301369863,19894824738301.91
657,3678961.1367781153,19867343402878.043
658,3695886.713201821,20025936987334.652
659,3690286.8878787877,20016244924386.453
660,3690501.3101361576,19985947671295.47
661,3687872.827794562,19960285449066.09
662,3682310.428355958,19950647371094.504
663,3677987.1957831327,19932966282609.438
664,3674867.0015037595,19909420937282.176
665,3675141.264264264,19879532054990.277
666,3670495.283358321,19864080195192.348
667,3666656.041916168,19844145135114.965
668,3669431.6322869956,19819592241396.02
669,3684097.289552239,19934071150002.848
670,3700831.2339791358,20092215510274.18
671,3696748.3720238097,20073473900882.598
672,3694758.0624071322,20046268636643.836
673,3692650.540059347,20019475877192.35
674,3687434.8592592594,20008135635918.348
675,3692687.49408284,19997144910165.535
676,3702808.3604135895,20036909755042.51
677,3703211.731563422,20007423454191.406
678,3699234.8159057437,19988652947752.863
679,3693794.7676470587,19979338583207.184
680,3688370.696035242,19969992599428.688
681,3682962.53372434,19960615373289.54
682,3679001.2855051244,19942064894743.82
683,3684313.947368421,19932172615570.133
684,3682729.287591241,19904752147758.44
685,3678445.4577259477,19888283037469.887
686,3675688.5502183405,19864512941531.285
687,3686232.6889534886,19912089132358.207
688,3680882.5747460085,19902868886821.03
689,3695327.797101449,20017960754402.797
690,3712845.415340087,20200994278667.035
691,3707480.034682081,20191680662357.223
692,3702130.1385281384,20182336555554.934
693,3702112.720461095,20153213625334.137
694,3696785.945323741,20143894713305.45
695,3691474.474137931,20134546053540.977
696,3697706.929698709,20132691029176.75
697,3693493.011461318,20116200710705.973
698,3695002.8011444923,20088974284870.434
699,3690672.597142857,20073360160305.88
700,3685407.7318116976,20064114815181.07
701,3680157.871794872,20054840525974.88
702,3678137.8947368423,20029140833119.9
703,3672913.272727273,20019866738177.074
704,3671548.1021276596,19992743329459.5
705,3670599.192634561,19965020531316.586
706,3665407.4002828854,19955798443839.004
707,3663856.466101695,19929275441539.137
708,3658962.651622003,19918106886307.273
709,3656319.6056338027,19894973488081.273
710,3653101.288326301,19874316628294.887
711,3655402.188202247,19850133430788.895
712,3650456.2973352033,19839695319305.145
713,3645343.6162464987,19830533268321.94
714,3654902.3776223776,19868088904318.156
715,3653956.5418994413,19840941904722.824
716,3648861.39748954,19831844768038.64
717,3649960.2729805014,19805052296008.156
718,3652975.2433936023,19784004401212.438
719,3647901.6694444446,19775022030539.074
720,3658453.165048544,19827828579050.805
721,3653386.058171745,19818865886380.812
722,3650195.233748271,19798777057272.133
723,3650039.4364640885,19771410430142.348
724,3646565.004137931,19752853820192.223
725,3663200.694214876,19926526234406.22
726,3660669.0729023386,19903738648977.465
727,3657118.3076923075,19885539317263.746
728,3665272.754458162,19906698872503.43
729,3661517.3561643837,19889687217271.29
730,3659379.737346101,19865781312187.49
731,3655447.986338798,19849920884261.656
732,3650461.020463847,19841033090396.066
733,3645487.643051771,19832119942864.35
734,3642100.71292517,19813532108211.594
735,3637152.2092391304,19804597860575.64
736,3637963.9511533245,19778175067246.71
737,3638481.449864499,19751536648838.883
738,3633557.9323410015,19742687166374.0
739,3628647.724324324,19733813263136.125
740,3631725.9892037786,19714167452484.72
741,3637509.436657682,19712381250332.324
742,3634538.7563930014,19692371630119.586
743,3645687.0672043012,19758335681662.246
744,3640793.5302013424,19749619073641.81
745,3650425.8766756034,19792324963394.02
746,3670369.1164658633,20062900108245.926
747,3670124.205882353,20036087008839.957
748,3669318.109479306,20009787490028.137
749,3664425.688,20001023993873.676
750,3661595.3182423436,19980372217598.6
751,3671114.835106383,20021914338068.566
752,3671252.215139442,19995303663555.645
753,3695566.225464191,20414492483369.71
754,3691196.2622516556,20401835476403.293
755,3687437.4603174604,20385494393296.316
756,3695316.4121532366,20405522410319.72
757,3695537.419525066,20378603658296.227
758,3705083.7602108037,20420888615850.582
